OS_PLATFORM,MODEL,DV_MODEL,CO2_FOOTPRINT,USER_COUNTRY_CD,USER_ID_ENCRYPTED,EMPLOYEE_TYPE,DEVICECAPACITY
17.4,IPHONE 13,IPHONE 13,64,CN,]P^\=?,EMP - Regular,128
16.7,IPHONE 13,IPHONE 13,71,SG,OMNR8;,EMP - Regular,256
17.2.1,IPHONE 11,IPHONE 11,72,TH,EWXRVZK9,EMP - Regular,64
17.3.1,IPHONE 11,IPHONE 11,77,CN,PIb<>,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,CN,J]XX>,EMP - Regular,128
16.7,IPHONE 13,IPHONE 13,64,PE,SZJHUX2,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,SI]IR[:>,EMP - Regular,128
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,HU,KIUQGQP,EMP - Temporary,64
17.4,IPAD PRO 12.9-INCH 5,IPAD PRO 12.9-INCH 5TH GEN,,SI,I][G`WOM,EMP - Long-term IA (LTIA),256
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,ZP]WNISS,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,US,K]PLK[2@,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,CN,IIW];=,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,US,UIVMXMZ:,EMP - Regular,128
17.3.1,IPHONE 12,IPHONE 12,70,CA,WM]IXQB9,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,CN,O^S6<,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,PE,ZPRXZMNU,EMP - Regular,128
17.3.1,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,K]WXP97,EMP - Regular,128
17.3.1,IPAD 7TH GEN 10.2-IN,IPAD 7TH GEN 10.2-INCH,93,DE,ZWUPR,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,IT,EI[FOMS[,EMP - Regular,128
17.3,IPAD (9TH GENERATION,IPAD 9TH GEN,84,CN,\M_,EMP - Regular,256
17.4,IPHONE 14,IPHONE 14,61,HU,II[OG[H,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,GB,FIWRGLJV,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CH,VQVSTU2=,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,NVXPR[,EMP - Regular,128
17.3.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,G]]XKVI\,EMP - Regular,64
17.3.1,IPHONE 14,IPHONE 14,61,US,JI[ROMS^,EMP - Regular,128
17.3.1,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,100,GB,EWJO_MN,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,LB,KIMHGLG,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,IN,YQ\E\MM,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,NQVN?:,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,NZJQKZH:,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,DVMIXU49,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,ES,FWKSI,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CH,IT^QY,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,OQNFKZU^,EMP - Regular,128
16.7,IPHONE 13,IPHONE 13,64,DE,H_JPJX,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,HVPH7,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,CH,FPJHUbF[,EMP - Regular,128
17.2.1,IPHONE 14,IPHONE 14,61,US,QW_MH,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,PWXRN?,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,CH,WMUPOM[R,EMP - Regular,128
17.3.1,IPAD PRO 10.5-INCH,IPAD PRO 10.5-INCH,,US,KIVQUVE\,EMP - Regular,256
17.4,IPHONE 14,IPHONE 14,61,NO,YM\XPWSO,EMP - Regular,128
17.3.1,IPHONE 12,IPHONE 12,75,BR,EI[VU[S9,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,KWJ56,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,CH,VKQRKTMZ,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,NZXIJMMZ,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,75,TH,Q]VETMFK,EMP - Regular,64
16.2,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,EZ^RTMN@,EMP - Regular,64
17.1.2,IPAD PRO 11-INCH. 2N,IPAD PRO 11-INCH 2ND GEN,130,UNKNOWN,XVTRU_O,Unknown,256
17.4,IPHONE 14,IPHONE 14,61,US,KMVTY\FJ,EMP - Regular,128
16.7,IPHONE 13,IPHONE 13,64,GB,KIUPJ97,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,KIVQKZB=,EMP - Regular,64
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,N]\GNMN:,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CH,YWU^S;,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,IN,GP^QGTB<,EMP - Regular,128
17.3.1,IPHONE 11,IPHONE 11,77,DE,IZNMSIO9,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,IN,QIROV96,EMP - Regular,128
17.3.1,IPHONE 12,IPHONE 12,75,BR,PI[XON9A,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,BR,GWLEXUPZ,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,CH,PILHU]D9,EMP - Regular,128
17.3.1,IPHONE 11,IPHONE 11,72,CO,MI[ESQE;,EMP - Regular,64
17.3,IPHONE 12,IPHONE 12,75,AU,VPJLV=3,EMP - Temporary,128
16.4,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,121,JO,DTUS[bJR,CW - Contractor,256
16.6,IPAD PRO 11-INCH. 2N,IPAD PRO 11-INCH 2ND GEN,,PH,T]RESJBR,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,US,MMOJXWH,EMP - Regular,128
17.2,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,100,IT,FWWXOI,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,IT,YMWX[ZJX,EMP - Regular,128
17.3.1,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,UWMVOU9=,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,UNKNOWN,XVTRU_O,Unknown,128
16.7.5,IPHONE 8,IPHONE 8,71,US,EZRXZID9,EMP - Regular,256
17.3,IPAD PRO 11-INCH,IPAD PRO 11-INCH 1ST GEN,,US,]IVYJQPM,CW - Consultant,
17.1.2,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,,CH,D[VEK,EMP - Regular,
17.4,IPHONE 12,IPHONE 12,75,IT,UW\WO],EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,IT,JZJWYWH9,EMP - Regular,128
17.4,IPHONE 11,IPHONE 11,77,US,JPXPObB[,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,,CA,DT_EXML=,EMP - Regular,
17.4,IPHONE 11,IPHONE 11,72,TH,E][EQQUI,EMP - Regular,64
17.3.1,IPHONE 14,IPHONE 14,61,US,JZNXNN,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,VIWH_[M,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,84,ES,HTXV`KBM,EMP - Regular,256
17.4,IPHONE 14,IPHONE 14,61,US,N]QRQ=,EMP - Regular,128
16.5.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,KIJWS<,EMP - Regular,64
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,WZRJUVPI,EMP - Temporary,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,YWUPSISV,EMP - Temporary,128
17.2,IPAD 7TH GEN 10.2-IN,IPAD 7TH GEN 10.2-INCH,93,DE,IZNMYTN,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CN,\IWKS>8,EMP - Regular,128
17.0.3,IPAD PRO 12.9-INCH 6,IPAD PRO 12.9-INCH 6TH GEN,142,US,ZQUPYS2,EMP - Regular,256
17.3,IPHONE 14,IPHONE 14,61,ES,MW_IXU,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,85,US,SI[MYXFT,EMP - Regular,256
17.4,IPHONE XR,IPHONE XR,62,US,ZQVFO[IR,CW - Managed Service,128
16.2,IPHONE 13,IPHONE 13,64,EG,HT\LKZJP,EMP - Regular,128
17.1.2,IPHONE 13,IPHONE 13,,US,FPRS[K,EMP - Regular,
17.3.1,IPHONE 13,IPHONE 13,64,CN,]PJRR:5=,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CN,FPNRN91@,EMP - Regular,128
17.3,IPHONE 12,IPHONE 12,70,CA,G]KMT[LI,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,US,WIWKY;6,EMP - Regular,128
17.4,IPHONE XR,IPHONE XR,62,CH,UQLLKZU^,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CZ,HQ\RKZU,EMP - Regular,128
17.4,IPAD PRO 11-INCH. 2N,IPAD PRO 11-INCH 2ND GEN,,DE,EI^IXX2,EMP - Regular,128
17.2.1,IPHONE 13,IPHONE 13,64,AE,PWNMTQSP,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CH,NWQPKZS?,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,US,FLJYY\FZ,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,75,CN,WQJRX?,EMP - Regular,64
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,UMRRGZUU,EMP - Regular,128
17.4,IPAD 10.9-INCH 10TH,IPAD 10TH GEN 10.9-INCH,72,CN,OQW\9@,EMP - Regular,64
17.4,IPHONE 14,IPHONE 14,61,US,UQXWP;,EMP - Regular,128
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,U]YTKZD9,EMP - Regular,64
17.4,IPHONE 11,IPHONE 11,77,CH,EZXRU_TU,EMP - Regular,128
16.7,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,,CH,UW\WG,EMP - Regular,
17.3.1,IPHONE 14,IPHONE 14,67,TR,NWLEK,EMP - Regular,256
17.1.2,IPHONE 12,IPHONE 12,75,CN,OQ`5==,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,,US,MWQRYR8<,EMP - Regular,
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,EI[XRK2,EMP - Regular,64
16.6.1,IPHONE 13,IPHONE 13,71,AT,UIKIXOF\,EMP - Regular,256
17.4,IPHONE 13,IPHONE 13,64,CN,JIRR7,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,84,ES,JI[GO[3=,EMP - Regular,256
17.3.1,IPHONE 13,IPHONE 13,64,CR,VW]SG96,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CH,EI^QGVW:,CW - Contractor,128
17.4,IPHONE 13,IPHONE 13,64,US,FWWVUaT9,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,US,KIWQ8>,EMP - Regular,128
17.2,IPAD PRO 11-INCH 3RD,IPAD PRO 11-INCH 3RD GEN,,MA,HTVENZBU,EMP - Regular,128
17.4,IPAD PRO 11-INCH 3RD,IPAD PRO 11-INCH 3RD GEN,112,DE,KMRRKT2,EMP - Temporary,256
17.3.1,IPHONE 12,IPHONE 12,75,IN,NWUMM,EMP - Regular,128
17.2,IPAD PRO 10.5-INCH,IPAD PRO 10.5-INCH,,MX,T]NZKLPL,EMP - Regular,64
17.3.1,IPHONE 12,IPHONE 12,,IT,SW[XGU,EMP - Regular,
17.3,IPHONE 12,IPHONE 12,75,US,MWJGNQNZ,EMP - Regular,128
16.7,IPHONE 11,IPHONE 11,72,CO,FI[VOTH<,EMP - Regular,64
17.4,IPAD PRO 11-INCH 3RD,IPAD PRO 11-INCH 3RD GEN,112,CH,FIKETITZ,EMP - Regular,256
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,ZQNWTMSV,EMP - Regular,64
17.3.1,IPHONE 11,IPHONE 11,77,CH,VI]^MMS],EMP - Regular,128
17.2.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,AR,PI[XS98?,EMP - Regular,64
17.3.1,IPHONE 11,IPHONE 11,77,IN,JP^KKL,EMP - Regular,128
17.2.1,IPHONE 12,IPHONE 12,75,IT,EM]XKTMX,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,ZA,PWYIJQQ,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,US,D_XGNWL,EMP - Regular,128
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,]QNWIPBV,EMP - Regular,64
17.4,IPHONE 12,IPHONE 12,75,CH,II\WHMOR,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,US,SI]IRZ5@,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,US,GI_MYT2A,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,70,CA,G]YST\D?,EMP - Regular,64
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,UNKNOWN,XVTRU_O,Unknown,64
16.7,IPAD AIR 3RD GEN (WI,IPAD AIR 3RD GEN,86,CN,OQ^F;?,EMP - Regular,64
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,DL[MGVI9,EMP - Regular,64
17.3,IPHONE 12,IPHONE 12,70,JP,KQ^VGU,EMP - Regular,64
16.7,IPHONE 12,IPHONE 12,70,JP,VI]SS;,EMP - Regular,64
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,PWNROSFI,EMP - Regular,64
17.0.2,IPHONE 12,IPHONE 12,75,US,UWcITJMW,EMP - Regular,128
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,JP,VIQEYPJV,EMP - Regular,64
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,62,CH,SNRWZMU9,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,70,JP,PI\EQQZ,EMP - Regular,64
17.4,IPHONE 12,IPHONE 12,75,US,JQPM_,EMP - Regular,128
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,KM[RGU4@,EMP - Regular,64
17.4,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,DE,PISI][D:,EMP - Regular,64
17.1.1,IPAD PRO 11-INCH. 2N,IPAD PRO 11-INCH 2ND GEN,130,US,LVKSJMOZ,EMP - Regular,256
17.3.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,JP,DUROOP,EMP - Regular,64
17.2.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,JP,KIKEXIB,EMP - Regular,64
17.1.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,57,JP,ZITM`IL\,EMP - Regular,64
17.2.1,IPHONE SE. 2ND GEN,IPHONE SE 2ND GEN,,JP,PW[M_IK9,EMP - Regular,
17.4,IPHONE 12,IPHONE 12,70,JP,W[^NOVP\,EMP - Regular,64
17.4,IPHONE 12,IPHONE 12,70,PL,NZ^W`SBI,EMP - Regular,64
17.4,IPHONE 13 PRO,IPHONE 13 PRO,76,US,SQUPGaU,EMP - Regular,256
17.3.1,IPHONE 13 PRO,IPHONE 13 PRO,76,IL,EI\WUVC,EMP - Regular,256
17.4,IPHONE 11,IPHONE 11,72,CA,FW[VJ9,EMP - Regular,64
16.6.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,CO,PW[ES?,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,GB,JMXVMQD9,EMP - Regular,128
17.2,IPAD (9TH GENERATION,IPAD 9TH GEN,75,CO,WZ^NOR2?,EMP - Regular,64
17.4,IPHONE 13,IPHONE 13,64,US,UW\WI=,EMP - Regular,128
17.3.1,IPAD AIR 5TH GENERAT,IPAD AIR 5TH GEN,92,AT,KI^WKOC9,EMP - Regular,256
17.3.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,JP,PQ\STWU9,EMP - Regular,64
16.7.2,IPHONE 8,IPHONE 8,,DE,PI]LHWVI,EMP - Regular,
17.4,IPHONE 13,IPHONE 13,64,FR,J]NHPM,EMP - Regular,128
17.2.1,IPHONE 13 PRO,IPHONE 13 PRO,76,IL,UW]LJ:,EMP - Regular,256
17.4,IPHONE 15,IPHONE 15,56,PL,SWUMZWXS,EMP - Regular,128
17.2,IPAD AIR 5TH GENERAT,IPAD AIR 5TH GEN,92,NL,EZJHRMK@,EMP - Regular,256
17.1.2,IPAD 10.9-INCH 10TH,IPAD 10TH GEN 10.9-INCH,72,DE,NZXIZbT9,EMP - Regular,64
17.3.1,IPHONE 15,IPHONE 15,56,CH,KMRQH]SK,EMP - Regular,128
17.1.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,UNKNOWN,XVTRU_O,Unknown,64
17.2,IPAD 10.9-INCH 10TH,IPAD 10TH GEN 10.9-INCH,72,US,YWU^Z:,EMP - Regular,64
17.4,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,121,CH,OQUPP,EMP - Regular,256
17.4,IPHONE 11,IPHONE 11,77,ES,OWYI`TPK,EMP - Regular,128
17.4,IPAD PRO 11-INCH,IPAD PRO 11-INCH 1ST GEN,,GB,KMJHV,EMP - Regular,64
17.4,IPHONE 14,IPHONE 14,61,SG,K]S6<,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,CZ,SZJ^GSPM,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,L[Q,EMP - Regular,64
17.4,IPHONE 15,IPHONE 15,56,US,DTNQGaFa,EMP - Regular,128
17.1.2,IPAD PRO 11-INCH,IPAD PRO 11-INCH 1ST GEN,,PL,NWY]IQOU,EMP - Regular,64
17.2,IPHONE 12,IPHONE 12,70,PL,NWY]IQOU,EMP - Regular,64
17.4,IPHONE 14,IPHONE 14,61,SG,UISE\MMS,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,UNKNOWN,XVTRU_O,Unknown,128
16.0.2,IPHONE 8,IPHONE 8,,DE,EW^[YP,EMP - Regular,
17.2,IPHONE 14,IPHONE 14,61,SG,FPXRMS2<,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,RU,EITERLJS,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,GR,NITEHWV^,EMP - Regular,128
17.3.1,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,121,CZ,]IYPK\BP,EMP - Regular,256
17.4,IPHONE 14,IPHONE 14,61,CH,PILGNQBO,EMP - Regular,128
17.2.1,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,QQLSRWT;,CW - Managed Service,128
17.4,IPHONE 11,IPHONE 11,77,US,MWWIQ:,EMP - Regular,128
16.1.1,IPHONE 14,IPHONE 14,61,CH,SMcIYPLX,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,CH,OWLLKZL,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,US,ETJMYLFI,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,BR,J]RQGZI9,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,FR,S]LLKTMT,EMP - Regular,128
17.1.2,IPHONE 12,IPHONE 12,,ES,PIWWUI,EMP - Regular,
17.4,IPHONE 14,IPHONE 14,61,LV,HZLMTIVL,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,BE,UWUMTM,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,PL,GIKVU_L9,EMP - Regular,128
17.4,IPHONE 12,IPHONE 12,75,BR,FI[HU[PU,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,US,EWX]YMOL,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,FR,O]UIY,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,FR,EM[EXLBR,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,FR,EWMITMTV,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,SG,RVPO<,EMP - Regular,128
17.4,IPHONE 13,IPHONE 13,64,CH,VSJV[TQ,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,BE,GIWRKMMT,EMP - Regular,128
17.3.1,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,UNKNOWN,XVTRU_O,Unknown,128
17.3,IPHONE 12,IPHONE 12,70,JP,PI]W[UL<,EMP - Regular,64
17.3.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,CO,J]JVTQ[I,EMP - Regular,64
17.1.2,IPHONE 13,IPHONE 13,64,IN,SI`EXI9,EMP - Regular,128
17.3.1,IPHONE 12,IPHONE 12,75,UNKNOWN,XVTRU_O,Unknown,128
16.7.5,IPHONE 8,IPHONE 8,57,UNKNOWN,XVTRU_O,Unknown,64
17.1.2,IPHONE 12,IPHONE 12,75,ES,WW[VK[NX,EMP - Regular,128
17.3.1,IPAD 10.9-INCH 10TH,IPAD 10TH GEN 10.9-INCH,72,DE,VQVSTS5,EMP - Regular,64
17.4,IPHONE 14,IPHONE 14,61,CH,WW]LPA,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,PL,N]OEZ,EMP - Regular,128
17.1.1,IPAD (9TH GENERATION,IPAD 9TH GEN,75,CN,O]X];,EMP - Regular,64
17.2.1,IPHONE 15,IPHONE 15,56,US,QMNRGVU,EMP - Regular,128
17.3.1,IPHONE 13,IPHONE 13,64,UNKNOWN,XVTRU_O,Unknown,128
17.3.1,IPAD PRO 11-INCH 4TH,IPAD PRO 11-INCH 4TH GEN,100,PT,PI[U[MTO,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,DE,GI^QS9,EMP - Regular,128
17.1.2,IPHONE 14,IPHONE 14,61,SG,[QJSYQU,EMP - Regular,128
17.3.1,IPAD AIR 5TH GENERAT,IPAD AIR 5TH GEN,92,FR,JQVSTMUI,EMP - Regular,256
17.3.1,IPHONE 15,IPHONE 15,56,CH,EI^VS=,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,ES,PQPYKbCN,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,ES,PIPSTU2,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,CH,SZJIZWSI,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,CH,OMPIRI,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,EC,DZ]SRIKK,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,SG,OMTU,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,PL,NI[TOVTU,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CN,]PXY_958,EMP - Regular,128
17.2,IPAD AIR 3RD GEN (WI,IPAD AIR 3RD GEN,86,CN,ZIWK_<6<,EMP - Regular,64
17.4,IPHONE 15,IPHONE 15,56,US,UQNKKZ[,EMP - Regular,128
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,CH,K]NVHQOT,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CH,FW\XGU3<,EMP - Regular,128
15.5,IPAD (9TH GENERATION,IPAD 9TH GEN,75,FI,OQWX[TBM,EMP - Regular,64
17.2,IPAD PRO 11-INCH,IPAD PRO 11-INCH 1ST GEN,128,PK,DPVEJQ6,EMP - Temporary,256
17.4,IPHONE 15,IPHONE 15,56,CH,PM]XSIOV,EMP - Regular,128
17.3,IPHONE 12 PRO,IPHONE 12 PRO,,PL,VS^TG9,EMP - Regular,256
17.4,IPHONE SE (3RD GENER,IPHONE SE 3RD GEN,50,US,GMSSNVS,EMP - Regular,128
17.3.1,IPHONE 14,IPHONE 14,61,EC,JI[GS938,EMP - Regular,128
17.3.1,IPHONE 15,IPHONE 15,56,CI,PMWMTN,EMP - Regular,128
17.3,IPHONE 15,IPHONE 15,56,ES,PWUMTISM,EMP - Regular,128
17.2.1,IPHONE 14,IPHONE 14,61,BE,VM[GQI,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CH,HSRGOTFI,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,CH,PW[]V,EMP - Regular,128
17.4,IPAD (9TH GENERATION,IPAD 9TH GEN,75,DE,ITRGQN,EMP - Regular,64
17.3.1,IPHONE 15,IPHONE 15,56,ES,VIW^MWOX,EMP - Regular,128
17.4,IPHONE 14,IPHONE 14,61,CN,\IWJ7:,EMP - Regular,128
17.4,IPHONE 15,IPHONE 15,56,ES,VM[VGVF;,EMP - Regular,128
